titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
Hermoso departamento de arriendo sector El Bosque,690,Pichincha,"Pichincha, El Bosque, Quito, Ecuador",3.0,2.0,120.0,1.0,Quito
Hermosa suite amoblada de arriendo sector Quito Tennis,450,Pichincha,"Pichincha, Quito Tenis, Quito, Ecuador",1.0,2.0,75.0,1.0,Quito
"Departamento de Arriendo , Excelente Ubicación",600,Pichincha,"Pichincha, Av. Eloy Alfaro, Quito, Ecuador",3.0,2.0,160.0,1.0,Quito
Hermoso Departamento de Arriendo con vista espectacular y ubicación excepcional,700,Pichincha,"Pichincha, Av. Eloy Alfaro en la ciudad de Quito",3.0,3.0,150.0,2.0,Av. Eloy Alfaro en la ciudad de Quito
"Arriendo Excelente Departamento Con 3 Terrazas, Sector Granda Centeno",1200,Pichincha,"Pichincha, Juan José de Villalengua, Quito, Ecuador",4.0,4.0,350.0,2.0,Quito
Se arrienda local comercial grande,600,Pichincha,"Pichincha, Machachi, Ecuador",3.0,2.0,90.0,1.0,Machachi
Amplio Local de Arriendo Con Ubicación Privelegiada,8000,Pichincha,"Pichincha, Av. de los Shyris, Quito, Ecuador",3.0,9.0,1000.0,13.0,Quito
Local Comercial de Renta en Excelente ubicación,1200,Pichincha,"Pichincha, Av. de los Shyris, Quito, Ecuador",3.0,1.0,100.0,1.0,Quito
DEPARTAMENTO DE 3 DORMITORIOS EN PONCEANO,460,Pichincha,"Pichincha, Mariano Paredes, Quito, Ecuador",3.0,2.0,115.0,2.0,Quito
Arriendo Bonito Departamento Sector Bosmediano,550,Pichincha,"Pichincha, Jose Bosmediano, Quito, Ecuador",3.0,2.0,92.0,2.0,Quito
Rento Penthouse Sector norte de Quito,2000,Pichincha,"Pichincha, Luxemburgo, Quito, Ecuador",5.0,5.0,300.0,3.0,Quito
Suite amoblada Av.Diego de Almagro y Juan Severino,680,Pichincha,"Pichincha, Diego de Almagro, Quito, Ecuador",1.0,2.0,51.0,1.0,Quito
SE ARRIENDA MINIDEPARTAMENTO NORTE DE QUITO,115,Pichincha,"Pichincha, Comité del Pueblo, Quito, Ecuador",3.0,1.0,80.0,1.0,Quito
“Rento amplio departamento en la Carolina”,520,Pichincha,"Pichincha, Av. Atahualpa & Iñaquito, Quito, Ecuador",3.0,2.0,150.0,1.0,Quito
“Rento departamento en sector la Carolina”,750,Pichincha,"Pichincha, Catalina de Aldaz & Av. Portugal, Quito, Ecuador",2.0,2.0,87.0,1.0,Quito
"“Rento Departamento Amoblado, Sector La Carolina”",1390,Pichincha,"Pichincha, Catalina de Aldaz & Avenida Portugal, Quito, Ecuador",3.0,3.0,126.0,1.0,Quito
“Rento Oficina-Consultorio en la Marina de Jesús”,520,Pichincha,"Pichincha, Calle B & San Gabriel, Quito, Ecuador",3.0,2.0,84.0,2.0,Quito
RENTO DEPARTAMENTO EN EL CONJUNTO SAN MARTIN,450,Pichincha,"Pichincha, Hernandez de Giron & Pedregal, Quito, Ecuador",2.0,1.0,69.0,1.0,Quito
"En Renta Casa en Conj Terracota B, Sangolquí",350,Pichincha,"Pichincha, Conjunto Habitacional Terracota B, Venezuela, Sangolquí, Ecuador",2.0,2.0,90.0,1.0,Sangolquí
"LOCAL COMERCIAL EN ARRIENDO, AV.6 DE DIC. -QUITO",1200,Pichincha,"Pichincha, Av. 6 de Diciembre, Quito, Ecuador",3.0,2.0,186.0,1.0,Quito
"RENTA HERMOSO DEPARTAMENTO DÚPLEX, USHIMANA",380,Pichincha,"Pichincha, Ushimana, Quito, Ecuador",3.0,2.0,145.0,2.0,Quito
OFICINAS EN RENTA SECTOR REPÚBLICA DEL SALVADOR,2800,Pichincha,"Pichincha, Av. Republica del Salvador & Moscú, Quito, Ecuador",3.0,3.0,216.0,3.0,Quito
EN RENTA LOCAL COMERCIAL SECTOR COLIBRÍ SANGOLQUÍ,800,Pichincha,"Pichincha, El Colibrí, Avenida General Rumiñahui, Sangolquí, Ecuador",3.0,2.0,101.0,2.0,Sangolquí
"OFICINAS DE RENTA 143 M2, SECTOR IÑAQUITO",650,Pichincha,"Pichincha, Av. Gaspar de Villarroel & Av. Amazonas, Quito, Ecuador",3.0,2.0,143.0,1.0,Quito
EN RENTA LOCAL COMERCIAL SECTOR COLIBRÍ SANGOLQUÍ,800,Pichincha,"Pichincha, Del Colibrí, Sangolquí, Ecuador",3.0,2.0,100.0,1.0,Sangolquí
AMPLIAS BODEGAS DE RENTA PUSUQUÍ SECTOR 4 ESQUINAS,380,Pichincha,"Pichincha, Av. Manuel Córdova Galarza, Quito, Ecuador",3.0,2.0,90.0,1.0,Quito
LOCAL U OFICINA DE RENTA PUSUQUÍ SECTOR 4 ESQUINAS,180,Pichincha,"Pichincha, Av. Manuel Córdova Galarza, Quito, Ecuador",3.0,1.0,15.0,1.0,Quito
AMPLIO LOCAL COMERCIAL DE RENTA PUSUQUÍ,350,Pichincha,"Pichincha, Av. Manuel Córdova Galarza, Quito, Ecuador",3.0,2.0,32.0,1.0,Quito
DEPARTAMENTO DE 2 DORMITORIOS SECTOR LA PRADERA,550,Pichincha,"Pichincha, Diego de Almagro & Alpallana, Quito, Ecuador",2.0,1.0,72.0,2.0,Quito
REACTIVA TU NEGOCIO- CENTRO DE LATACUNGA,120,Cotopaxi,"Cotopaxi, Latacunga, Ecuador",3.0,2.0,48.0,1.0,Latacunga
Arriendo Galpón Industrial/ Bodega. Sector Parques del Recuerdo Norte,2800,Pichincha,"Pichincha, Juncal, Quito, Ecuador",3.0,2.0,954.0,1.0,Quito
RENTO DEPARTAMENTO DE 2 DORMITORIOS,350,Pichincha,"Pichincha, De Las Frutillas, Quito, Ecuador",2.0,2.0,74.0,1.0,Quito
Arriendo local comercial dúplex en La Mariscal,1600,Pichincha,"Pichincha, Diego de Almagro & La Pinta, Quito, Ecuador",3.0,2.0,75.0,1.0,Quito
ARRIENDO SUITE AMOBLADA EN EL QUITO TENIS,750,Pichincha,"Pichincha, Quito Tenis, Quito, Ecuador",1.0,1.0,125.0,1.0,Quito
Quieres rentar consultorio Hospital de los Valles?,350,Pichincha,"Pichincha, Av. Interoceánica, Quito, Ecuador",3.0,2.0,43.0,1.0,Quito
DEPARTAMENTO TRES DORMITORIOS SECTOR EL BOSQUE,650,Pichincha,"Pichincha, Av. Brasil & El Condor, Quito, Ecuador",3.0,3.0,190.0,2.0,Quito
¿Buscas rentar un departamento en Mastodontes?,350,Pichincha,"Pichincha, Av Jaime Roldós Aguilera, Quito, Ecuador",3.0,1.0,125.0,1.0,Quito
Arriendo consultorio en la Clínica Pichincha,350,Pichincha,"Pichincha, Avenida General Ignacio de Veintimilla & 9 de Octubre, Quito, Ecuador",3.0,2.0,30.0,1.0,Quito
EN RENTA – ÁREA COMERCIAL VÍA AMAGUAÑA TAMBILLO,150,Pichincha,"Pichincha, Tambillo, Ecuador",3.0,2.0,143.0,3.0,Tambillo
"CASA DE ARRIENDO 189 M2, SECTOR DE CONOCOTO",1000,Pichincha,"Pichincha, Polit Lasso, Quito, Ecuador",5.0,3.0,180.0,1.0,Quito
Departamento Amplio en el Norte de Quito,350,Pichincha,"Pichincha, Jorge Piedra Y Gonzalo Gallo, Quito, Ecuador",4.0,3.0,100.0,1.0,Quito
LOCAL EN RENTA SAN ISIDRO la California Alta y E16 Conjunto Mirador de Amagasí,200,Pichincha,"Pichincha, California Alta & Calle E16, Conjunto Habitacional Mirador de Amagasí, Quito, Ecuador",3.0,1.0,23.0,1.0,Quito
"OFICINAS DE ARRIENDO 200 M2, SECTOR IÑAQUITO",1500,Pichincha,"Pichincha, Avenida Gaspar de Villaroel & Japón, Quito, Ecuador",3.0,2.0,200.0,4.0,Quito
